"phenotype_category","code","description","code_system","clinical_subcategory","phenotype_name","rank"
"Acute Respiratory Infection","A15","Respiratory tuberculosis, bacteriologically and histologically confirmed","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A150","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A151","Tuberculosis of lung, confirmed by culture only","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A152","Tuberculosis of lung, confirmed histologically","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A153","Tuberculosis of lung, confirmed by unspecified means","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A154","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A155","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A156","Tuberculous pleurisy, confirmed bacteriologically and histologically","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A157","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A158","Other respiratory tuberculosis, confirmed bacteriologically and histologically","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A159","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A16","Respiratory tuberculosis, not confirmed bacteriologically or histologically","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A160","Tuberculosis of lung, bacteriologically and histologically negative","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A161","Tuberculosis of lung, bacteriological and histological examination not done","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A162","Tuberculosis of lung, without mention of bacteriological or histological confirmation","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
